序号,阶段,页面/模块,主要交付,估算P,估算工时(小时),当前状态,完成比例,备注
1,基础框架收敛,患者管理,模板A落地/统计卡压缩/列表高密度化,5,3.8,已完成,100%,含搜索与快捷操作整合
2,基础框架收敛,患者工作台与工具箱,功能卡密度优化/状态语义统一,3,2.2,已完成,100%,底部工具栏弱化同步完成
3,核心流程精修,语音接诊,左右分栏强化/录音与病历状态流/导出入口,7,5.2,已完成,100%,含待确认提示与保存收敛
4,核心流程精修,体态分析(Vision3),分析面板重构/指标侧栏收敛/状态与空态补齐,9,6.8,已完成,100%,关键渲染测试通过
5,核心流程精修,关节活动度(ROM),入口-测量-报告流程重构/状态补齐,7,5.2,已完成,100%,修复选择项与测量目标同步
6,核心流程精修,前后对比,三态(记录不足/可选择/已生成)与防错机制,5,3.8,已完成,100%,结果区改高密度列表
7,数据侧收敛,数据中心,筛选区收窄/列表化/主信息突出,3,2.2,已完成,100%,与报告中心职责拆分
8,数据侧收敛,报告中心,报告状态/生成时间/导出方式/查看入口强化,3,2.2,已完成,100%,支持文本预览与导出
9,交付收口,全局走查与真机联调,文案一致性/交互态细节/真机冒烟测试,8,6.0,待完成,0%,可交付版剩余主工作量
合计,可交付版,全站核心页面,8页核心流程与统一规范落地,50,37.5,进行中,84%,当前已完成42P
已完成,截至2026-03-09,核心改版,页面级收敛与回归验证,42,31.5,已完成,84%,tsc与关键测试通过
剩余,截至2026-03-09,收口任务,全局走查+真机联调修补,8,6.0,待完成,16%,预计1-2小时连续推进
